time,cwnd_pkts,throughput_mbps,buffer_pkts,inflight_pkts
0.1,1,0,0,0
0.2,1,0,0,0
0.3,10,1.2,0,10
0.4,19,1.44,0,19
0.5,37,1.92,0,31
0.6,63,4.56,0,55
0.7,103,4.8,18,102
0.8,129,4.68,18,129
0.9,129,4.8,16,128
1,114,0,18,114
1.1,128,0,20,128
1.2,128,3.6,18,128
1.3,129.695,0.96,0,116
1.4,129.695,0,0,76
1.5,129.695,0,0,50
1.6,93.294,0,0,86
1.7,91.294,0,0,84
1.8,91.294,0,0,85
1.9,91.294,0,0,87
2,91.294,0,0,89
2.1,91.294,0,0,91
2.2,91.294,0,0,91
2.3,37,60.96,0,37
2.4,76,4.68,0,62
2.5,91.294,4.8,0,64
2.6,88.79,4.8,0,59
2.7,88.79,4.68,0,60
2.8,88.79,4.8,0,61
2.9,88.79,4.8,0,63
3,88.79,4.68,0,64
3.1,88.79,4.8,0,65
3.2,90.79,4.8,0,67
3.3,88.79,4.68,0,76
3.4,88.79,4.8,0,67
3.5,88.79,4.8,0,69
3.6,88.79,4.68,0,70
3.7,88.79,4.8,0,71
3.8,88.79,4.8,0,71
3.9,88.79,4.68,0,72
4,88.79,4.8,0,73
4.1,90.79,4.8,0,82
4.2,88.79,4.68,0,80
4.3,88.5973,4.8,0,76
4.4,88.5973,4.8,0,77
4.5,88.5973,4.68,0,77
4.6,88.5973,4.8,0,78
4.7,88.5973,4.8,0,80
4.8,88.5973,4.68,0,81
4.9,90.212,4.8,0,83
5,88.212,4.8,0,87
5.1,88.212,4.68,0,77
5.2,88.212,4.8,0,78
5.3,88.212,4.68,0,80
5.4,88.212,4.8,0,80
5.5,88.212,4.8,0,81
5.6,88.212,4.68,0,81
5.7,88.212,4.8,0,82
5.8,90.212,4.8,0,89
5.9,88.212,4.68,0,83
6,88.212,4.8,0,79
6.1,88.0293,4.8,0,79
6.2,88.0293,4.68,0,79
6.3,88.0293,4.8,0,80
6.4,88.0293,4.8,0,82
6.5,87.9233,4.68,0,82
6.6,89.9233,4.8,0,85
6.7,87.9233,4.8,0,85
6.8,87.9233,4.68,0,76
6.9,87.9233,4.8,0,77
7,87.9233,4.8,0,79
7.1,87.9233,4.68,0,79
7.2,87.9233,4.8,0,79
7.3,87.9753,4.8,0,80
7.4,87.9753,4.68,0,80
7.5,89.9753,4.8,0,88
7.6,87.9753,4.8,0,81
7.7,87.9753,4.68,0,78
7.8,87.9753,4.8,0,78
7.9,87.9753,4.8,0,78
8,87.9753,4.68,0,78
8.1,87.9753,4.8,0,79
8.2,87.9753,4.8,0,81
8.3,89.9753,4.68,0,84
8.4,87.9753,4.8,0,85
8.5,87.9753,4.8,0,77
8.6,87.9753,4.68,0,77
8.7,87.9753,4.8,0,77
8.8,87.9753,4.68,0,79
8.9,87.9753,4.8,0,80
9,87.9753,4.8,0,80
9.1,87.9753,4.68,0,80
9.2,89.9753,4.8,0,88
9.3,87.9753,4.8,0,79
9.4,87.9753,4.68,0,78
9.5,87.9753,4.8,0,78
9.6,87.9753,4.8,0,78
9.7,87.9753,4.68,0,79
9.8,87.9753,4.8,0,79
9.9,87.9753,4.8,0,81
10,89.9753,4.68,0,85
